"classes","class-code","class-labels","class-type","class-demand-reporters","class-elasticity","class-conversion","class-succession","class-fire-pron","class-pcolor"
0,999,"NODATA",0,"perc-increase c 0",0,"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]",0,"[255 255 255]"
1,111,"Continuous urban fabric",1,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]",0,"[230 0 77]"
2,112,"Discontinuous urban fabric",1,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]",0,"[255 0 0]"
3,121,"Industrial or commercial units",1,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]",0,"[204 77 242]"
4,122,"Road and rail networks and associated land",1,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]",0,"[204 0 0]"
5,123,"Port areas",1,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]",0,"[230 204 204]"
6,124,"Airports",1,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]",0,"[230 204 230]"
7,131,"Mineral extraction sites",1,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]",0,"[166 0 204]"
8,132,"Dump sites",1,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]",0,"[166 77 0]"
9,133,"Construction sites",1,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]",0,"[255 77 255]"
10,141,"Green urban areas",1,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]",0,"[255 166 255]"
11,142,"Sport and leisure facilities",1,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]",0,"[255 230 255]"
12,211,"Non-irrigated arable land",1,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]","0,01","[255 255 168]"
13,212,"Permanently irrigated land",1,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]","0,01","[255 255 0]"
14,213,"Rice fields",1,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]","0,01","[230 230 0]"
15,221,"Vineyards",1,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]","0,01","[230 128 0]"
16,222,"Fruit trees and berry plantations",1,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]","0,01","[242 166 77]"
17,223,"Olive groves",1,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]","0,01","[230 166 0]"
18,231,"Pastures",1,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]","0,01","[230 230 77]"
19,241,"Annual crops associated with permanent crops",1,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]","0,01","[255 230 166]"
20,242,"Complex cultivation patterns",1,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]","0,01","[255 230 77]"
21,243,"Land principally occupied by agriculture, with significant areas of natural vegetation",1,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]","0,05","[230 204 77]"
22,244,"Agro-forestry areas",1,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]","0,05","[242 204 166]"
23,311,"Broad-leaved forest",0,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]","0,3","[128 255 0]"
24,312,"Coniferous forest",0,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]","0,4","[0 166 0]"
25,313,"Mixed forest",0,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]","0,35","[77 255 0]"
26,321,"Natural grasslands",0,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[27 3]","0,2","[204 242 77]"
27,322,"Moors and heathland",0,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[29 5]","0,5","[166 255 128]"
28,323,"Sclerophyllous vegetation",0,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[29 5]","0,5","[166 230 77]"
29,324,"Transitional woodland-shrub",0,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[25 10]","0,7","[166 242 0]"
30,331,"Beaches, dunes, sands",0,"perc-increase c 0",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]",0,"[230 230 230]"
31,332,"Bare rocks",0,"perc-increase c 0",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]",0,"[204 204 204]"
32,333,"Sparsely vegetated areas",0,"perc-increase c 0",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]","[-1 -1]",0,"[204 255 204]"
33,334,"Burnt areas",0,"perc-increase c 0",0,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]","[26 1]",0,"[0 0 0]"
34,335,"Glaciers and perpetual snow",0,"perc-increase c 0",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]","[-1 -1]",0,"[166 230 204]"
35,411,"Inland marshes",0,"perc-increase c 0",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]","[-1 -1]",0,"[166 166 255]"
36,412,"Peat bogs",0,"perc-increase c 0",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]","[-1 -1]",0,"[77 77 255]"
37,421,"Salt marshes",0,"perc-increase c 0",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]","[-1 -1]",0,"[204 204 255]"
38,422,"Salines",0,"perc-increase c 0",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]","[-1 -1]",0,"[230 230 255]"
